Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Hindi Verification,Verification Notes,,,,,,
,દોસ્તને,,ને,Beneficiary,Recipient,,,,5,See 492,,,,,,
,મદદ,,,,,,,,,,,,,,,
,કરવાનું,,,,,,,,,,,,,,,
,મન,,,,,,,,,,,,,,,
,થયું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
56,“,,,,,,,,,,,,,,,
,આરામ,,,,,,,,,,,,,,,
,કરવાનો,,નો,Purpose,Purpose,,,,,,,,,,,
,અક,,,,,,,,,,,,,,,
,કિમિયો,,,,,,,,,,,,,,,
,બતાવું,,,,,,,,,,,,,,,
,?,,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
57,“,,,,,,,,,,,,,,,
,હા,,,,,,,,,,,,,,,
,હા,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,તો,,તો,Focus,Focus,,,,2,Focus.See sentence 11,,,,,,
,હંમેશા,,,,,,,,,,,,,,,
,આરામ,,,,,,,,,,,,,,,
,કરવાનું,,નું,Purpose,Purpose,,,,,,,,,,,
,મન,,,,,,,,,,,,,,,
,થાય,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
58,માણસ,,,,,,,,,,,,,,,
,એકી,,,,,,,,,,,,,,,
,સાથે,,સાથે,Manner,Manner,,,,2,"As highlighted, I was unsure about the SR. Hindi has Ancillary",,,,,,
,પોતાના,,ના,Gestalt,Gestalt,,,,0,,,,,,,
,કામમાં,,માં,Theme,Theme,,,,0,,,,,,,
,સંન્નિષ્ઠ,,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,છતાં,,,,,,,,,,,,,,,
,એદી,,,,,,,,,,,,,,,
,પણ,,પણ,Focus,Focus,,,,,,,,,,,
,હોઈ,,,,,,,,,,,,,,,
,શકે,,,,,,,,,,,,,,,
,!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
59,નાનકડા,,,,,,,,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,1,,,,,,,
,આગળ,,,,,,,,,,,,,,,
,ચલાવ્યું,,,,,,,,,,,,,,,
,:,,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,તારો,,નો,Gestalt,Gestalt,,,,1,,,,,,,
,આ,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,એટલો,,,,,,,,,,,,,,,
,નાનકડો,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,ત્રણ,,,,,,,,,,,,,,,
,ડગલાં,,,,,,,,,,,,,,,
,માં,,માં,Extent,Extent,,,,0,,,,,,,
,બધે,,,,,,,,,,,,,,,
,ફરી,,,,,,,,,,,,,,,
,વળાય,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
60,જો,,,,,,,,,,,,,,,
,તારે,,એ,Agent,Agent,,,,5,Same SR,,,,,,
,હંમેશા,,,,,,,,,,,,,,,
,સૂર્યના,,ના,Originator,Gestalt,,,,0,,,,,,,
,પ્રકાશમાં,,માં,Locus,Locus,,,,1,,,,,,,
,રહેવું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
61,જ્યારે,,,,,,,,,,,,,,,
,તારે,,એ,Agent,Agent,,,,5,Same as prev sentence,,,,,,
,આરામ,,,,,,,,,,,,,,,
,કરવો,,,,,,,,,,,,,,,
,હોય,,,,,,,,,,,,,,,
,ત્યારે,,,,,,,,,,,,,,,
,ચાલતાં,,,,,,,,,,,,,,,
,રહેવું,,,,,,,,,,,,,,,
,-,,,,,,,,,,,,,,,
,દિવસ,,,,,,,,,,,,,,,
,તું,,,,,,,,,,,,,,,
,ચાહે,,,,,,,,,,,,,,,
,એટલો,,,,,,,,,,,,,,,
,લાંબો,,,,,,,,,,,,,,,
,થઈ,,,,,,,,,,,,,,,
,શકે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
62,“,,,,,,,,,,,,,,,
,એનાથી,,નાથી,Explanation,Source,,,,2,Explanation in Hindi SR,,,,,,
,મને,,ને,Beneficiary,Recipient,,,,5,Same SR. See 603,,,,,,
,કાંઈ,,,,,,,,,,,,,,,
,ખાસ,,,,,,,,,,,,,,,
,ફાયદો,,,,,,,,,,,,,,,
,નથી,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવનારે,,એ,Originator,Agent,,,,0,,,,,,,
,કહ્યું,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,જીવનમાં,,માં,Circumstance,Circumstance,,,,0,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,1,,,,,,,
,બસ,,,,,,,,,,,,,,,
,એક,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,વસ્તુ,,,,,,,,,,,,,,,
,ગમે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,--,,,,,,,,,,,,,,,
,ઊંઘ,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
63,“,,,,,,,,,,,,,,,
,તો,,તો,`,,,,,0,,,,,,,
,તો,,તો,`,,,,,0,,,,,,,
,તું,,,,,,,,,,,,,,,
,બહુ,,,,,,,,,,,,,,,
,કમનસીબ,,,,,,,,,,,,,,,
,ગણાય,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,”,,,,,,,,,,,,,,,
,નાનકડા,,,,,,,,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,0,,,,,,,
,કહ્યું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
64,“,,,,,,,,,,,,,,,
,તે,,,,,,,,,,,,,,,
,છું,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,1,,,,,,,
,ને,,,,,,,,,,,,,,,
,!,,,,,,,,,,,,,,,
,good,,,,,,,,,,,,,,,
,morning,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
65,”,,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,એણે,,એ,Agent,Agent,,,,1,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,ઓલવી,,,,,,,,,,,,,,,
,નાખ્યો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66,આગળ,,,,,,,,,,,,,,,
,ચાલતાં,,,,,,,,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,0,,,,,,,
,વિચાર્યું,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,માણસને,,ને,Theme,Theme,,,,3,The fn is Recipient. See line 677,,,,,,
,બધા,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,ધુત્કારશે,,,,,,,,,,,,,,,
,--,,,,,,,,,,,,,,,
,રાજા,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,ગુમાની,,,,,,,,,,,,,,,
,માણસ,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,દારૂડિયો,,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,વેપારી,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
67,છતાંય,,ય,Focus,Focus,,,,,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,તો,,તો,Focus,Focus,,,,0,,,,,,,
,એ,,,,,,,,,,,,,,,
,બધા,,,,,,,,,,,,,,,
,લોકો,,,,,,,,,,,,,,,
,કરતા,,કરતા,ComparisonRef,ComparisonRef,,,,0,,,,,,,
,આ,,,,,,,,,,,,,,,
,માણસ,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,ઓછો,,,,,,,,,,,,,,,
,વિચિત્ર,,,,,,,,,,,,,,,
,લાગ્યો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
68,કારણ,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,પોતાના,,ના,PartPortion,PartPortion,1:1,,,0,,,,,,,
,સિવાય,,સિવાય,,,1:2,,,,,,,,,,
,બીજું,,,,,,,,,,,,,,,
,પણ,,પણ,Focus,Focus,,,,,,,,,,,
,કાંઈક,,,,,,,,,,,,,,,
,વિચારે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
69,રાજકુમારે,,એ,Originator,Agent,,,,0,,,,,,,
,એક,,,,,,,,,,,,,,,
,નિસાસો,,,,,,,,,,,,,,,
,નાખ્યો,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,એક,,,,,,,,,,,,,,,
,માણસ,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,જેની,,ની,SocialRel,Ancillary,1:1,,,2,SocialRel in Hindi. See 718,,,,,,
,સાથે,,સાથે,,,1:2,,,,,,,,,,
,મને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,દોસ્તી,,,,,,,,,,,,,,,
,કરવી,,,,,,,,,,,,,,,
,ગમે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
70,પણ,,પણ,`,,,,,,,,,,,,
,એનો,,નો,Gestalt,Gestalt,,,,1,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,સાચે,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,બહુ,,,,,,,,,,,,,,,
,નાનો,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
71,બે,,,,,,,,,,,,,,,
,માણસો,,,,,,,,,,,,,,,
,એમાં,,માં,Locus,Locus,,,,1,,,,,,,
,રહી,,,,,,,,,,,,,,,
,શકે,,,,,,,,,,,,,,,
,એમ,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,નહીં,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
72,અહીંથી,,થી,Source,Source,,,,0,,,,,,,
,જવાના,,,,,,,,,,,,,,,
,સમયે,,એ,Time,Time,,,,,,,,,,,
,રાજકુમાર,,,,,,,,,,,,,,,
,ઉદાસ,,,,,,,,,,,,,,,
,થઈ,,,,,,,,,,,,,,,
,ગયો,,,,,,,,,,,,,,,
,કારણ,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,પર,,પર,Locus,Locus,,,,1,,,,,,,
,જો,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,રહેતો,,,,,,,,,,,,,,,
,હોત,,,,,,,,,,,,,,,
,તો,,તો,`,,,,,0,,,,,,,
,એને,,ને,Experiencer,Recipient,,,,0,,,,,,,
,દિવસના,,ના,Frequency,Gestalt,,,,5,They have genetive case. SR is Frequency. See 770,,,,,,
,1440,,,,,,,,,,,,,,,
,સૂર્યાસ્ત,,,,,,,,,,,,,,,
,જોવા,,,,,,,,,,,,,,,
,મળત,,,,,,,,,,,,,,,
,!,,,,,,,,,,,,,,,
