Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,
,એની,,ની,SocialRel,Gestalt,,,,
,પ્રજાને,,ને,Recipient,Recipient,,,,
,દરિયામાં,,માં,Goal,Locus,,,,
,કૂદી,,,,,,,,
,પડવાનું,,,,,,,,
,કહે,,,,,,,,
,તો,,તો,`,,,,,
,બધા,,,,,,,,
,એની,,ની,Beneficiary,Locus,1:1,,Triple?,
,સામે,,સામે,,,1:2,,,
,બળવો,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,કરે,,,,,,,,
,ને,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
61,હું,,,,,,,,
,મારા,,ના,Originator,Gestalt,,,,
,હુકમનું,,નું,Theme,Theme,,,,
,પાલન,,,,,,,,
,થાય,,,,,,,,
,એવો,,,,,,,,
,આગ્રહ,,,,,,,,
,રાખું,,,,,,,,
,છું,,,,,,,,
,કેમકે,,,,,,,,
,મારા,,ના,Originator,Gestalt,,,,
,હુકમ,,,,,,,,
,પણ,,પણ,Focus,Focus,,,,
,એવા,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,સાદા,,,,,,,,
,અને,,,,,,,,
,સમજુ,,,,,,,,
,હોય,,,,,,,,
,છે,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
62,“,,,,,,,,
,તો,,તો,`,,,,,
,પછી,,,,,,,,
,મારા,,ના,Gestalt,Gestalt,,,,
,સૂર્યાસ્તનું,,નું,Topic,Topic,,,,
,શું,,,,,,,,
,?,,,,,,,,
,”,,,,,,,,
,નાનકડા,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,યાદ,,,,,,,,
,દેવડાવી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
63,એકવાર,,,,,,,,
,કોઈ,,,,,,,,
,પ્રશ્ન,,,,,,,,
,આપણો,,નો,SocialRel,Gestalt,,,,
,આ,,,,,,,,
,નાનકડો,,,,,,,,
,રાજકુમાર,,,,,,,,
,પૂછી,,,,,,,,
,લે,,,,,,,,
,તો,,તો,`,,,,,
,પછી,,,,,,,,
,એનો,,નો,Topic,Topic,,,,
,જવાબ,,,,,,,,
,મળે,,,,,,,,
,નહીં,,,,,,,,
,ત્યાં,,,,,,,,
,સુધી,,સુધી,EndTime,EndTime,,,,
,એ,,,,,,,,
,ભૂલે,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,નહીં,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
64,“,,,,,,,,
,તારી,,ની,Gestalt,Gestalt,,,,
,ઈચ્છા,,,,,,,,
,પણ,,પણ,`,,,,,
,પૂરી,,,,,,,,
,થશે,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
65,હું,,,,,,,,
,સૂર્યને,,ને,Recipient,Recipient,,,,
,અસ્ત,,,,,,,,
,થવાનો,,નો,Topic,Topic,,,,
,હુકમ,,,,,,,,
,આપીશ,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
66,પરંતુ,,,,,,,,
,શાસન,,,,,,,,
,કરવાના,,,,,,,,
,મારા,,ના,Possessor,Possessor,,,,
,વિજ્ઞાન,,,,,,,,
,પ્રમાણે,,પ્રમાણે,Explanation,Explanation,,,,
,અમુક,,,,,,,,
,પ્રકારનું,,નું,Identity,Identity,,,,
,વાતાવરણ,,,,,,,,
,સર્જાવું,,,,,,,,
,જોઈએ,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
67,“,,,,,,,,
,એ,,,,,,,,
,ક્યારે,,,,,,,,
,થશે,,,,,,,,
,?,,,,,,,,
,”,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,પૂછ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
68,રાજાએ,,એ,Experiencer,Agent,,,,
,મોટું,,,,,,,,
,પંચાંગ,,,,,,,,
,કાઢીને,,,,,,,,
,કાંઈક,,,,,,,,
,વાંચવા,,,,,,,,
,માંડ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
69,“,,,,,,"""",,
,આઠ,,,,,,8,,
,વાગવામાં,,માં,Time,Time,,in hitting,,
,આશરે,,,,,,approximately,,
,વીસેક,,,,,,about 20,,
,મિનિટ,,,,,,minutes,,
,બાકી,,,,,,are remaining,,
,હશે,,,,,,,,
,ત્યારે,,,,,,,,
,અને,,,,,,,,
,પછી,,,,,,,,
,તું,,,,,,,,
,જોઈ,,,,,,,,
,શકીશ,,,,,,,,
,કે,,,,,,,,
,સૂર્ય,,,,,,,,
,પણ,,,,,,,,
,મારો,,નો,Originator,Gestalt,,,,
,હુકમ,,,,,,,,
,માને,,,,,,,,
,છે,,,,,,,,
,!,,,,,,,,
,”,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
70,રાજકુમારે,,એ,Agent,Agent,,,,
,બગાસુ,,,,,,,,
,ખાધું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
71,એને,,ને,Experiencer,Recipient,,,,
,સૂર્યાસ્ત,,,,,,,,
,જોવા,,,,,,,,
,મળ્યો,,,,,,,,
,નહીં,,,,,,,,
,એનું,,નું,Topic,Topic,,,,
,દુ:ખ,,,,,,,,
,હતું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
72,અને,,,,,,,,
,",",,,,,,,,
,હવે,,,,,,,,
,એને,,ને,Experiencer,Recipient,,,,
,કંટાળો,,,,,,,,
,પણ,,,,,,,,
,આવવા,,,,,,,,
,માંડ્યો,,,,,,,,
,હતો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
73,“,,,,,,,,
,મારે,,એ,Agent,Agent,,,,
,અહીં,,,,,,,,
,બીજુ,,,,,,,,
,કાંઈ,,,,,,,,
,કામ,,,,,,,,
,નથી,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,એણે,,એ,Originator,Agent,,,,
,રાજાને,,ને,Recipient,Recipient,,,,
,કહ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,એટલે,,,,,,,,
,હું,,,,,,,,
,આગળ,,,,,,,,
,જઈશ,,,,,,,,
,"""",,,,,,,,
,.,,,,,,,,
,,,,,,,,,
74,“,,,,,,,,
,ના,,,,,,,,
,જઈશ,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજાને,,ને,Experiencer,Recipient,,,,
,એના,,ના,SocialRel,Gestalt,,,,
,આ,,,,,,,,
,દરબારી,,,,,,,,
,માટે,,માટે,Stimulus,Beneficiary,,,"""Proud for the minister. Topic?Beneficiary?",
,ગર્વ,,,,,,,,
,હતો,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,તું,,,,,,,,
,હવે,,,,,,,,
,અહીંથી,,થી,Source,Source,,,,
,ક્યાંય,,ય,Focus,Focus,,,,
,ના,,,,,,,,
,જઈશ,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
75,હું,,,,,,,,
,તને,,ને,Theme,Theme,,,,
,મંત્રી,,,,,,,,
,બનાવીશ,,,,,,,,
,”,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
76,“,,,,,,,,
,શાનો,,નો,Identity,Identity,,,,
,મંત્રી,,,,,,,,
,?,,,,,,,,
,”,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
77,“,,,,,,,,
,ન્યાયનો,,નો,Identity,Identity,,,,
,મંત્રી,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
78,“,,,,,,,,
,પણ,,,,,,,,
,અહીં,,,,,,,,
,તે,,,,,,,,
,કોનો,,નો,Theme,Theme,,,,
,ન્યાય,,,,,,,,
,કરવાનો,,,,,,,,
,છે,,,,,,,,
,?,,,,,,,,
,અહીં,,,,,,,,
,તો,,તો,Focus,Focus,,,,
,કોઈ,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,નથી,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
79,“,,,,,,,,
,એ,,,,,,,,
,હું,,,,,,,,
,કાંઈ,,,,,,,,
,ન,,,,,,,,
,જાણું,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,મેં,,એ,Agent,Agent,,,,
,હજી,,,,,,,,
,મારા,,ના,Gestalt,Gestalt,,,,
,આખા,,,,,,,,
,ગ્રહ,,,,,,,,
,પર,,પર,Locus,Locus,,,,
,આંટો,,,,,,,,
,માર્યો,,,,,,,,
,નથી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
80,હવે,,,,,,,,
,હું,,,,,,,,
,ઘરડો,,,,,,,,
,થઈ,,,,,,,,
,ગયો,,,,,,,,
,છું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
81,કોઈ,,,,,,,,
,વાહન,,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,Theme or Purpose,
,પણ,,,,,,,,
,આ,,,,,,,,
,ગ્રહ,,,,,,,,
,પર,,પર,Locus,Locus,,,,
,જગ્યા,,,,,,,,
,નથી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
82,અને,,,,,,,,
,ચાલતાં,,,,,,,,
,ચાલતાં,,,,,,,,
,હું,,,,,,,,
,થાકી,,,,,,,,
,જાઉં,,,,,,,,
,છું,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
83,“,,,,,,,,
,ઓહ,,,,,,,,
,!,,,,,,,,
,પણ,,,,,,,,
,મેં,,એ,Experiencer,Agent,,,,
,તો,,તો,Focus,Focus,,,,
,આપનો,,નો,Gestalt,Gestalt,,,,
,આખોય,,ય,Focus,Focus,,,,
,ગ્રહ,,,,,,,,
,જોઈ,,,,,,,,
,લીધો,,,,,,,,
,છે,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
84,,,,,,,,,
,નાનકડા,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,અને,,,,,,,,
,ફરીથી,,થી,Frequency,Frequency,,,,
,આખાય,,ય,Focus,Focus,,,,
,ગ્રહ,,,,,,,,
,પર,,પર,Stimulus,Locus,,,,
,એક,,,,,,,,
,નજર,,,,,,,,
,દોડાવી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
85,આ,,,,,,,,
,બાજુ,,,,,,,,
,કે,,,,,,,,
,પેલી,,,,,,,,
,બાજુ,,,,,,,,
,",",,,,,,,,
,કયાંય,,ય,Focus,Focus,,,,
,કોઈ,,,,,,,,
,દેખાતું,,,,,,,,
,ન,,,,,,,,
,હતું,,,,,,,,
,......,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
86,“,,,,,,,,
,તો,,તો,`,,,,,
,પછી,,,,,,,,
,તું,,,,,,,,
,તારી,,,,,,,,
,જાતની,,ની,Gestalt,Gestalt,,,,
,જ,,જ,Focus,Focus,,,,
,કસોટી,,,,,,,,
,કરજે,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
87,પછી,,,,,,,,
,આગળ,,,,,,,,
,ચલાવ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
88,“,,,,,,,,
,એ,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,તો,,તો,`,,,,,
,સૌથી,,,,,,,,
,અઘરું,,,,,,,,
,છે,,,,,,,,
,",",,,,,,,,
,બીજાની,,ની,Gestalt,Gestalt,,,See sentence 86,
,કસોટી,,,,,,,,
,કરવા,,,,,,,,
,કરતાં,,,,,,,,
,પોતાની,,ની,Gestalt,Gestalt,,,See sentence 86,
,જ,,જ,Focus,Focus,,,,
,કસોટી,,,,,,,,
,અઘરી,,,,,,,,
,છે,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
89,જો,,,,,,,,
,તું,,,,,,,,
,તારી,,ની,Beneficiary,Ancillary,1:1,,,
,જાત,,,,,,,,
,સાથે,,સાથે,,,1:2,,,
,સાચો,,,,,,,,
,",",,,,,,,,
,પ્રામાણિક,,,,,,,,
,ન્યાય,,,,,,,,
,કરી,,,,,,,,
,શકે,,,,,,,,
,તો,,તો,`,,,,,
,જ,,જ,Focus,Focus,,,,
,તું,,,,,,,,
,ડાહ્યો,,,,,,,,
,",",,,,,,,,
,શાણો,,,,,,,,
,માણસ,,,,,,,,
,કહેવાય,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
90,“,,,,,,,,
,હા,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,પણ,,પણ,`,,,,,
,મારી,,,,,,,,
,જાતને,,ને,Theme,Theme,,,,
,હું,,,,,,,,
,કોઈ,,,,,,,,
,પણ,,પણ,Focus,Focus,,,,
,જગ્યાએ,,એ,Locus,Locus,,,,
,ચકાસી,,,,,,,,
,શકું,,,,,,,,
,છું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
91,એને,,ને,Explanation,Explanation,1:1,,This is grammatically  wrong,
,માટે,,માટે,,,1:2,,,
,મારે,,એ,Agent,Agent,,,See sentence 73,
,આ,,,,,,,,
,ગ્રહ,,,,,,,,
,પર,,પર,Locus,Locus,,,,
,રહેવાની,,ની,Purpose,Purpose,,,,
,જરૂર,,,,,,,,
,નથી,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
92,“,,,,,,,,
,હું,,,,,,,,
,…,,,,,,,,
,અ,,,,,,,,
,!,,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,“,,,,,,,,
,આ,,,,,,,,
,ગ્રહ,,,,,,,,
,પર,,પર,Locus,Locus,,,,
,એક,,,,,,,,
,ઘરડો,,,,,,,,
,ઉંદર,,,,,,,,
,રહે,,,,,,,,
,છે,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
93,વખતોવખત,,,,,,,Inposition?,
,તારે,,એ,Agent,Agent,,,,
,એને,,ને,Recipient,Recipient,,,,
,મૃત્યુદંડ,,,,,,,,
,આપવો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
94,આ,,,,,,,,
,રીતે,,એ,Manner,Manner,,,,
,એની,,ની,Gestalt,Gestalt,,,,
,જિંદગી,,,,,,,,
,તારા,,ના,Gestalt,Gestalt,,,,
,ન્યાય,,,,,,,,
,પર,,પર,Circumstance,Circumstance,,,,
,ટકશે,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
95,પણ,,પણ,`,,,,,
,મૃત્યુદંડ,,,,,,,,
,આપ્યા,,,,,,,,
,પછી,,પછી,Time,Time,,,,
,તરત,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,તારે,,એ,Agent,Agent,,,,
,એને,,ને,Recipient,Recipient,,,,
,માફ,,,,,,,,
,કરવો,,,,,,,,
,;,,,,,,,,
,કારણ,,,,,,,,
,કે,,,,,,,,
,દયા,,,,,,,,
,તો,,તો,Focus,Focus,,,,
,બતાવવી,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,જોઈએ,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
96,અને,,,,,,,,
,વળી,,,,,,,,
,એ,,,,,,,,
,એક,,,,,,,,
,ઉંદર,,,,,,,,
,સિવાય,,સિવાય,PartPortion,PartPortion,,,,
,આ,,,,,,,,
,ગ્રહ,,,,,,,,
,પર,,પર,Locus,Locus,,,,
,બીજાં,,,,,,,,
,છે,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,કોણ,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
97,જેના,,ના,Theme,Locus,1:1,,,
,પર,,પર,,,1:2,,,
,રાજ,,,,,,,,
,કરી,,,,,,,,
,શકાય,,,,,,,,
,?,,,,,,,,
,”,,,,,,,,
,,,,,,,,,
98,“,,,,,,,,
,હું,,,,,,,,
,કોઇને,,ને,Recipient,Recipient,,,,
,મૃત્યુની,,ની,Identity,Identity,,,Argument for Chracteristic?,
,સજા,,,,,,,,
,આપતો,,,,,,,,
,નથી,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,",",,,,,,,,
,“,,,,,,,,
,અને,,,,,,,,
,મને,,ને,Experiencer,Agent,,,,
,લાગે,,,,,,,,
,છે,,,,,,,,
,કે,,,,,,,,
,હવે,,,,,,,,
,મારે,,એ,Agent,Agent,,,,
,અહીંથી,,થી,Source,Source,,,,
,જવું,,,,,,,,
,જોઈએ,,,,,,,,
,.,,,,,,,,
,"""",,,,,,,,
,,,,,,,,,
99,“,,,,,,,,
,ના,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
100,રાજકુમારની,,ની,Gestalt,Gestalt,,,,
,ઈચ્છા,,,,,,,,
,રાજાનું,,નું,Whole,Whole,,,Should it just be just Gestalt,
,મન,,,,,,,,
,દુ:ખાડવાની,,ની,Purpose,Purpose,,,,
,ન,,,,,,,,
,હતી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
101,એટલે,,,,,,,,
,એણે,,એ,Originator,Agent,,,,
,કહ્યું,,,,,,,,
,:,,,,,,,,
,“,,,,,,,,
,જો,,,,,,,,
,આપ,,,,,,,,
,નામવર,,,,,,,,
,એમ,,,,,,,,
,ઈચ્છતા,,,,,,,,
,હો,,,,,,,,
,કે,,,,,,,,
,હું,,,,,,,,
,આપના,,ના,Originator,Gestalt,,,,
,હુકમનું,,નું,Theme,Theme,,,,
,પાલન,,,,,,,,
,કરું,,,,,,,,
,તો,,તો,`,,,,,
,આ,,,,,,,,
,જ,,જ,Focus,Focus,,,,
,ક્ષણે,,એ,Time,Time,,,,
,મને,,ને,Recipient,Recipient,,,,
,અહીંથી,,થી,Source,Source,,,,
,જતા,,,,,,,,
,રહેવાનું,,નું,Purpose,Purpose,,,,
,આપ,,,,,,,,
,ફરમાન,,,,,,,,
,કરો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
102,મને,,ને,Experiencer,Recipient,,,,
,લાગે,,,,,,,,
,છે,,,,,,,,
,કે,,,,,,,,
,એને,,ને,Purpose,Purpose,1:1,,,
,માટે,,માટે,,,1:2,,,
,વાતાવરણ,,,,,,,,
,અનુકૂળ,,,,,,,,
,છે,,,,,,,,
,…,,,,,,,,
,”,,,,,,,,
,,,,,,,,,
103,રાજાએ,,એ,Originator,Agent,,,,
,કાંઈ,,,,,,,,
,ઉત્તર,,,,,,,,
,આપ્યો,,,,,,,,
,નહીં,,,,,,,,
,એટલે,,,,,,,,
,રાજકુમાર,,,,,,,,
,થોડોક,,,,,,,,
,ખંચકાયો,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
104,પછી,,,,,,,,
,એક,,,,,,,,
,નિસાસા,,,,,,,,
,સાથે,,સાથે,Manner,Manner,,,,
,એણે,,એ,Agent,Agent,,,,
,રાજાની,,ની,Gestalt,Gestalt,,,"""took his leave""",
,રજા,,,,,,,,
,લીધી,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
105,“,,,,,,,,
,હું,,,,,,,,
,તને,,ને,Theme,Theme,,,,
,મારો,,નો,SocialRel,Gestalt,,,,
,સંદેશવાહક,,,,,,,,
,--,,,,,,,,
,એલચી,,,,,,,,
,-,,,,,,,,
,બનાવું,,,,,,,,
,છું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
110,”,,,,,,,,
,રાજાએ,,એ,Originator,Agent,,,,
,ભવ્યતાપૂર્વક,,,,,,,,
,કહ્યું,,,,,,,,
,.,,,,,,,,
,,,,,,,,,
111,“,,,,,,,,
,વડીલો,,,,,,,,
,ઘણાં,,,,,,,,
,વિચિત્ર,,,,,,,,
,હોય,,,,,,,,
,છે,,,,,,,,
,",",,,,,,,,
,”,,,,,,,,
,એમ,,,,,,,,
,ગણગણીને,,,,,,,,
,રાજકુમાર,,,,,,,,
,આગળ,,,,,,,,
,ચાલ્યો,,,,,,,,
,.,,,,,,,,
